,level_0,Elo_home,Elo_away,home_GF,home_GA,away_GF,away_GA,result
398,70036,73.0,72.0,44,45,45,55,0.0
399,63505,92.0,62.0,74,49,44,51,1.0
400,100657,60.0,60.0,65,45,50,52,0.0
401,69799,75.0,84.0,54,31,62,29,0.0
402,30755,73.0,82.0,53,36,66,22,-1.0
403,8562,48.0,48.0,71,44,35,33,0.0
404,95089,69.0,55.0,62,47,43,52,0.0
405,5296,67.0,41.0,66,40,43,32,1.0
406,11100,70.0,80.0,41,52,49,51,0.0
407,17435,75.0,84.0,40,57,60,41,-1.0
408,22243,53.0,62.0,52,47,73,68,0.0
409,21831,57.0,57.0,69,53,54,75,1.0
410,119405,58.0,50.0,38,70,54,56,-1.0
411,70545,66.0,69.0,36,38,31,51,0.0
412,27915,71.0,75.0,41,61,51,45,0.0
413,35129,78.0,72.0,37,39,31,50,1.0
414,99499,55.0,50.0,55,65,48,56,1.0
415,43547,62.0,83.0,31,61,51,30,-1.0
416,78671,83.0,66.0,61,54,37,62,-1.0
417,66308,63.0,65.0,34,81,47,46,0.0
418,110249,89.0,87.0,94,39,90,38,-1.0
419,48249,57.0,47.0,47,44,44,26,1.0
420,44414,84.0,66.0,80,47,55,73,1.0
421,44602,79.0,76.0,47,50,38,54,1.0
422,14931,86.0,73.0,79,37,43,47,1.0
423,38171,64.0,77.0,47,40,45,41,0.0
424,30827,68.0,64.0,35,58,38,67,-1.0
425,113695,59.0,48.0,48,39,35,44,1.0
426,79166,82.0,77.0,58,66,45,63,1.0
427,102176,56.0,50.0,32,42,45,46,-1.0
428,93731,56.0,56.0,41,54,43,52,-1.0
429,116296,51.0,55.0,67,48,56,49,1.0
430,64068,88.0,69.0,71,43,41,58,1.0
431,17741,85.0,90.0,72,38,47,42,1.0
432,76017,67.0,62.0,37,43,44,36,1.0
433,72244,87.0,76.0,55,20,30,44,1.0
434,100959,59.0,57.0,58,50,57,65,1.0
435,13668,81.0,67.0,62,53,34,57,1.0
436,42039,78.0,86.0,36,40,68,36,1.0
437,5130,44.0,54.0,37,63,36,50,1.0
438,53294,54.0,61.0,47,51,42,39,0.0
439,9594,55.0,52.0,44,53,30,59,1.0
440,49838,66.0,54.0,58,34,34,42,1.0
441,113531,47.0,51.0,44,70,58,23,-1.0
442,103300,74.0,73.0,44,41,26,47,1.0
443,19311,77.0,89.0,52,54,75,46,-1.0
444,108594,76.0,63.0,54,53,35,65,1.0
445,16387,73.0,72.0,41,50,47,45,0.0
446,44683,76.0,87.0,36,33,87,43,0.0
447,15033,74.0,82.0,23,44,41,43,1.0
448,80634,67.0,80.0,60,61,42,50,1.0
449,76993,83.0,71.0,40,41,46,50,1.0
450,102486,49.0,50.0,35,42,44,41,0.0
451,121395,52.0,55.0,37,33,49,38,0.0
452,49551,62.0,59.0,54,22,45,44,1.0
453,10047,79.0,73.0,63,40,40,49,1.0
454,74814,67.0,68.0,33,48,33,57,-1.0
455,72126,72.0,78.0,28,33,38,22,1.0
